front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
abblätternd,,abblätternd,ADJ,,,,,,,Über der Tür hieß es in abblätternden Goldbuchstaben: Ollivander - Gute Zauberstäbe seit 382 v. Chr.,Über der Tür hieß es in {{c1::abblätternden}} Goldbuchstaben: Ollivander - Gute Zauberstäbe seit 382 v. Chr.,2,01_harry_potter_und_der_stein_der_weisen
abfallenden,,abfallenden,ADJ,,,,,,,"Es war ein klarer, ein wenig windiger Tag, und das Gras wellte sich unter ihren Füßen, als sie den sanft abfallenden Hang zu einem flachen Stück Rasen auf der gegenüberliegenden Seite des verbotenen Waldes hinuntergingen, dessen Bäume in der Ferne dunkel wogten.","Es war ein klarer, ein wenig windiger Tag, und das Gras wellte sich unter ihren Füßen, als sie den sanft {{c1::abfallenden}} Hang zu einem flachen Stück Rasen auf der gegenüberliegenden Seite des verbotenen Waldes hinuntergingen, dessen Bäume in der Ferne dunkel wogten.",1,01_harry_potter_und_der_stein_der_weisen
abgedunkelter,,abgedunkelter,ADJ,,,,,,,"Ihre freie Zeit verbrachten sie größtenteils in Hagrids abgedunkelter Hütte, wo sie versuchten ihm Vernunft beizubringen.","Ihre freie Zeit verbrachten sie größtenteils in Hagrids {{c1::abgedunkelter}} Hütte, wo sie versuchten ihm Vernunft beizubringen.",1,01_harry_potter_und_der_stein_der_weisen
abgelegten,,abgelegten,ADJ,,,,,,,"Er sah sogar noch kleiner und dürrer aus, als er in Wirklichkeit war, denn alles, was er zum Anziehen hatte, waren die abgelegten Klamotten Dudleys, und der war etwa viermal so dick wie Harry.","Er sah sogar noch kleiner und dürrer aus, als er in Wirklichkeit war, denn alles, was er zum Anziehen hatte, waren die {{c1::abgelegten}} Klamotten Dudleys, und der war etwa viermal so dick wie Harry.",2,01_harry_potter_und_der_stein_der_weisen
achtungheischend,,achtungheischend,ADJ,,,,,,,"»Zurücktreten«, sagte Griphook mit achtungheischender Stimme.","»Zurücktreten«, sagte Griphook mit {{c1::achtungheischender}} Stimme.",1,01_harry_potter_und_der_stein_der_weisen
afrikanisch,"African (sich auf Afrika, Afrikaner beziehend)",afrikanisch,ADJ,,,,,"African (sich auf Afrika, Afrikaner beziehend)",dictionary-en,"Seinen Turban, erklärte er, habe ihm ein afrikanischer Prinz geschenkt, weil er dem Prinzen einen lästigen Zombie vom Hals geschafft habe, aber sie waren sich nicht sicher, was sie von dieser Geschichte halten sollten.","Seinen Turban, erklärte er, habe ihm ein {{c1::afrikanischer}} Prinz geschenkt, weil er dem Prinzen einen lästigen Zombie vom Hals geschafft habe, aber sie waren sich nicht sicher, was sie von dieser Geschichte halten sollten.",1,01_harry_potter_und_der_stein_der_weisen
albern,"silly (in unpassender und dummer Art lustig); childish (kindisch, in der Situation unangebracht)",albern,ADJ,,,,,"silly (in unpassender und dummer Art lustig); childish (kindisch, in der Situation unangebracht)",dictionary-en,"»Da es bei mir nur wenig albernes Zauberstabgefuchtel gibt, werden viele von euch kaum glauben, dass es sich um Zauberei handelt.","»Da es bei mir nur wenig {{c1::albernes}} Zauberstabgefuchtel gibt, werden viele von euch kaum glauben, dass es sich um Zauberei handelt.",1,01_harry_potter_und_der_stein_der_weisen
aller,,aller,ADJ,,,,,,,"Aller Blicke richteten sich auf ihn, als er Professor Dumbledores Platz erreichte, gegen den Tisch rempelte und nach Luft schnappend hervorstieß:","{{c1::Aller}} Blicke richteten sich auf ihn, als er Professor Dumbledores Platz erreichte, gegen den Tisch rempelte und nach Luft schnappend hervorstieß:",1,01_harry_potter_und_der_stein_der_weisen
allererste,very first (verstärkend: erste),allererste,ADJ,,,,,very first (verstärkend: erste),dictionary-en,"So weit er zurückdenken konnte, war sie da gewesen, und seine allererste Frage an Tante Petunia war gewesen, wie er zu dieser Narbe gekommen war.","So weit er zurückdenken konnte, war sie da gewesen, und seine {{c1::allererste}} Frage an Tante Petunia war gewesen, wie er zu dieser Narbe gekommen war.",1,01_harry_potter_und_der_stein_der_weisen
allerletzte,last (verstärkend: letzte),allerletzte,ADJ,,,,,last (verstärkend: letzte),dictionary-en,"Harry durchwühlte die Taschen seines Umhangs und zog einen Schokofrosch hervor, den allerletzten aus der Schachtel, die Hermine ihm zu Weihnachten geschenkt hatte.","Harry durchwühlte die Taschen seines Umhangs und zog einen Schokofrosch hervor, den {{c1::allerletzten}} aus der Schachtel, die Hermine ihm zu Weihnachten geschenkt hatte.",2,01_harry_potter_und_der_stein_der_weisen
