lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
nur,nur,ADV,206,,,,,,,"Dursley behauptete sogar, dass sie gar keine Schwester hätte, denn diese und deren Nichtsnutz von einem Mann waren so undursleyhaft, wie man es sich nur denken konnte.","Dursley behauptete sogar, dass sie gar keine Schwester hätte, denn diese und deren Nichtsnutz von einem Mann waren so undursleyhaft, wie man es sich {{c1::nur}} denken konnte.",01_harry_potter_und_der_stein_der_weisen
sehr,sehr,ADV,109,,,,,,,"Dursley im Ligusterweg Nummer 4 waren stolz darauf, ganz und gar normal zu sein, sehr stolz sogar.","Dursley im Ligusterweg Nummer 4 waren stolz darauf, ganz und gar normal zu sein, {{c1::sehr}} stolz sogar.",01_harry_potter_und_der_stein_der_weisen
Slytherin,Slytherin,NOUN,52,feminine,singular,Slytherins,,Slytherins (14),,"»Na Ja, eigentlich weiß es keiner, bevor er hinkommt, aber ich weiß, dass ich im Slytherin sein werde, unsere ganze Familie war da.","»Na Ja, eigentlich weiß es keiner, bevor er hinkommt, aber ich weiß, dass ich im {{c1::Slytherin}} sein werde, unsere ganze Familie war da.",01_harry_potter_und_der_stein_der_weisen
weiter,weiter,ADV,49,,,,,,,"Dass er ihn fast umgestoßen hatte, schien ihn gar nicht weiter zu ärgern.","Dass er ihn fast umgestoßen hatte, schien ihn gar nicht {{c1::weiter}} zu ärgern.",01_harry_potter_und_der_stein_der_weisen
genau,Genau,ADV,35,,,,,,,"»Genau«, sagte Dumbledore und blickte sehr ernst über die Halbmonde seiner Lesebrille.","»{{c1::Genau}}«, sagte Dumbledore und blickte sehr ernst über die Halbmonde seiner Lesebrille.",01_harry_potter_und_der_stein_der_weisen
Dursley,Dursleys,NOUN,34,masculine,plural,Dursleys,,Dursleys (33),,Die Dursleys hatten einen kleinen Sohn namens Dudley und in ihren Augen gab es nirgendwo einen prächtigeren Jungen.,Die {{c1::Dursleys}} hatten einen kleinen Sohn namens Dudley und in ihren Augen gab es nirgendwo einen prächtigeren Jungen.,01_harry_potter_und_der_stein_der_weisen
offenbar,offenbar,ADV,34,,,,,,,"Er saß im üblichen morgendlichen Stau fest und konnte nicht wohin zu bemerken, dass offenbar eine Menge seltsam gekleideter Menschen unterwegs waren.","Er saß im üblichen morgendlichen Stau fest und konnte nicht wohin zu bemerken, dass {{c1::offenbar}} eine Menge seltsam gekleideter Menschen unterwegs waren.",01_harry_potter_und_der_stein_der_weisen
denn,denn,ADV,32,,,,,,,"War so etwas denn normal für Katzen, fragte sich Mn Dursley.","War so etwas {{c1::denn}} normal für Katzen, fragte sich Mn Dursley.",01_harry_potter_und_der_stein_der_weisen
Gryffindor,Gryffindors,NOUN,29,masculine,singular,Gryffindors,,Gryffindors (24),,"Vielleicht seid ihr Gryffindors, sagt euer alter Hut, denn dort regieren, wie man weiß, Tapferkeit und Mut.","Vielleicht seid ihr {{c1::Gryffindors}}, sagt euer alter Hut, denn dort regieren, wie man weiß, Tapferkeit und Mut.",01_harry_potter_und_der_stein_der_weisen
damit,damit,ADV,28,,,,,,,damit würden er und seine Frau Jedenfalls nichts zu tun haben ...,{{c1::damit}} würden er und seine Frau Jedenfalls nichts zu tun haben ...,01_harry_potter_und_der_stein_der_weisen
zutun,tun,VERB,25,,,,,,,"Niemand wäre auf die Idee gekommen, sie könnten sich in eine merkwürdige und geheimnisvolle Geschichte verstricken, denn mit solchem Unsinn wollten sie nichts zu tun haben.","Niemand wäre auf die Idee gekommen, sie könnten sich in eine merkwürdige und geheimnisvolle Geschichte verstricken, denn mit solchem Unsinn wollten sie nichts zu {{c1::tun}} haben.",01_harry_potter_und_der_stein_der_weisen
Erstklässler,Erstklässler,NOUN,24,,plural,Erstklässlern,Erstklässler,Erstklässler (22); Erstklässlern (2),,»Erstklässler!,»{{c1::Erstklässler}}!,01_harry_potter_und_der_stein_der_weisen
allein,allein,ADV,24,,,,,,,"Doch die anderen ließen nicht zu, dass Professor Quirrell Harry allein in Beschlag nahm.","Doch die anderen ließen nicht zu, dass Professor Quirrell Harry {{c1::allein}} in Beschlag nahm.",01_harry_potter_und_der_stein_der_weisen
rannten,rannte,VERB,24,,,,,,,"Dann rannte er los, bevor sich Dudley einen Reim daraus machen konnte.","Dann {{c1::rannte}} er los, bevor sich Dudley einen Reim daraus machen konnte.",01_harry_potter_und_der_stein_der_weisen
genug,genug,ADV,22,,,,,,,"Sie aßen im Zoorestaurant, und als Dudley einen Wutanfall bekam, weil sein Eisbecher Hawaii nicht groß genug war, bestellte ihm Onkel Vernon einen neuen, und Harry durfte den ersten aufessen.","Sie aßen im Zoorestaurant, und als Dudley einen Wutanfall bekam, weil sein Eisbecher Hawaii nicht groß {{c1::genug}} war, bestellte ihm Onkel Vernon einen neuen, und Harry durfte den ersten aufessen.",01_harry_potter_und_der_stein_der_weisen
viel,viel,ADV,20,,,,,,,"Berühmt für etwas, an das er sich nicht einmal erinnern wird! Sehen Sie nicht, wie viel besser es für ihn wäre, wenn er weit weg von alledem aufwächst, bis er bereit ist, es zu begreifen?","Berühmt für etwas, an das er sich nicht einmal erinnern wird! Sehen Sie nicht, wie {{c1::viel}} besser es für ihn wäre, wenn er weit weg von alledem aufwächst, bis er bereit ist, es zu begreifen?",01_harry_potter_und_der_stein_der_weisen
ständig,ständig,ADV,19,,,,,,,"»Aber das Glas«, murmelte er ständig vor sich hin, »was ist aus dem Glas geworden?«","»Aber das Glas«, murmelte er {{c1::ständig}} vor sich hin, »was ist aus dem Glas geworden?«",01_harry_potter_und_der_stein_der_weisen
Klatscher,Klatscher,NOUN,18,masculine,plural,Klatscher,Klatschern,Klatscher (8); Klatschern (2),,"»Ich zeig dir, was die Klatscher tun«, sagte Wood.","»Ich zeig dir, was die {{c1::Klatscher}} tun«, sagte Wood.",01_harry_potter_und_der_stein_der_weisen
allmählich,allmählich,ADV,18,,,,,,,"Langsam, ganz allmählich, hob sie den Kopf bis ihre Augen auf einer Höhe mit denen Harrys waren.","Langsam, ganz {{c1::allmählich}}, hob sie den Kopf bis ihre Augen auf einer Höhe mit denen Harrys waren.",01_harry_potter_und_der_stein_der_weisen
