front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
abendlich,"vespertine (zum Abend gehörend; am Abend, abends stattfindend)",abendlich,ADJ,,,,,"vespertine (zum Abend gehörend; am Abend, abends stattfindend)",dictionary-en,Doch Madam Pomfrey kam mit der abendlichen Dosis Arznei herübergewuselt und ersparte Hermine die Antwort.,Doch Madam Pomfrey kam mit der {{c1::abendlichen}} Dosis Arznei herübergewuselt und ersparte Hermine die Antwort.,2,02_harry_potter_und_die_kammer_des_schreckens
abessinisch,"Abyssinian (sich auf Abessinien beziehend, aus Abessinien stammend)",abessinisch,ADJ,,,,,"Abyssinian (sich auf Abessinien beziehend, aus Abessinien stammend)",dictionary-en,"Professor Sprout gab ihnen die Aufgabe, die abessinischen Schrumpelfeigenbäume zu beschneiden.","Professor Sprout gab ihnen die Aufgabe, die {{c1::abessinischen}} Schrumpelfeigenbäume zu beschneiden.",1,02_harry_potter_und_die_kammer_des_schreckens
abfallende,,abfallende,ADJ,,,,,,,"Harry trat ein, wobei er mit dem Kopf beinahe an die schräg abfallende Decke stieß, und blinzelte überrascht.","Harry trat ein, wobei er mit dem Kopf beinahe an die schräg {{c1::abfallende}} Decke stieß, und blinzelte überrascht.",1,02_harry_potter_und_die_kammer_des_schreckens
abfällig,"derogatory (eine ablehnende Haltung zeigend, nur wenig wertschätzend, mit Verachtung); disparaging (eine ablehnende Haltung zeigend, nur wenig wertschätzend, mit Verachtung)",abfällig,ADJ,,,,,"derogatory (eine ablehnende Haltung zeigend, nur wenig wertschätzend, mit Verachtung); disparaging (eine ablehnende Haltung zeigend, nur wenig wertschätzend, mit Verachtung)",dictionary-en,"Snape durchstreifte die Dampfwolken und machte abfällige Bemerkungen über die Arbeit der Gryffindors, während die Slytherins genüsslich kicherten.","Snape durchstreifte die Dampfwolken und machte {{c1::abfällige}} Bemerkungen über die Arbeit der Gryffindors, während die Slytherins genüsslich kicherten.",3,02_harry_potter_und_die_kammer_des_schreckens
abgenutzt,"worn out (durch häufige Benutzung verschlissen, aufgetragen, starke Gebrauchsspuren habend/aufweisend); worn out (durch häufigen öffentlichen Gebrauch eines Wortes oder einer Phrase als formelhaft oder inhaltsleer wahrgenommen)",abgenutzt,ADJ,,,,,"worn out (durch häufige Benutzung verschlissen, aufgetragen, starke Gebrauchsspuren habend/aufweisend); worn out (durch häufigen öffentlichen Gebrauch eines Wortes oder einer Phrase als formelhaft oder inhaltsleer wahrgenommen)",dictionary-en,In der Mitte standen ein abgenutzter Holztisch und Stühle;,In der Mitte standen ein {{c1::abgenutzter}} Holztisch und Stühle;,1,02_harry_potter_und_die_kammer_des_schreckens
abgrundtief,fathomless (von Gefühlen/Empfindungen: außerordentlich stark ausgeprägt),abgrundtief,ADJ,,,,,fathomless (von Gefühlen/Empfindungen: außerordentlich stark ausgeprägt),dictionary-en,"Die Dursleys waren Muggel (so nannten die Zauberer Menschen, die keinen Tropfen magisches Blut in den Adern hatten), und in ihren Augen war es eine abgrundtiefe Schande, einen Zauberer in der Familie zu haben.","Die Dursleys waren Muggel (so nannten die Zauberer Menschen, die keinen Tropfen magisches Blut in den Adern hatten), und in ihren Augen war es eine {{c1::abgrundtiefe}} Schande, einen Zauberer in der Familie zu haben.",1,02_harry_potter_und_die_kammer_des_schreckens
abstoßend,"repulsive (Abscheu, Widerwillen oder Ekel erregend); sickening (Abscheu, Widerwillen oder Ekel erregend)",abstoßend,ADJ,,,,,"repulsive (Abscheu, Widerwillen oder Ekel erregend); sickening (Abscheu, Widerwillen oder Ekel erregend)",dictionary-en,"Borgin und Burkes, den er gerade verlassen hatte, schien der größte zu sein, dafür steckte das Schaufenster gegenüber voll abstoßender Schrumpfköpfe und zwei Läden weiter wimmelte es in einem Käfig von gigantischen Spinnen.","Borgin und Burkes, den er gerade verlassen hatte, schien der größte zu sein, dafür steckte das Schaufenster gegenüber voll {{c1::abstoßender}} Schrumpfköpfe und zwei Läden weiter wimmelte es in einem Käfig von gigantischen Spinnen.",2,02_harry_potter_und_die_kammer_des_schreckens
affenartig,monkey-like,affenartig,ADJ,,,,,monkey-like,heuristic-compound-artig,"es war das alte, affenartige Gesicht eines Zauberers mit langem schmalem Bart, der fast bis zum Saum seines wogenden Steinumhangs herabfiel.","es war das alte, {{c1::affenartige}} Gesicht eines Zauberers mit langem schmalem Bart, der fast bis zum Saum seines wogenden Steinumhangs herabfiel.",1,02_harry_potter_und_die_kammer_des_schreckens
allergrößten,,allergrößten,ADJ,,,,,,,"Du hast es gefunden, zu meinem allergrößten Vergnügen.","Du hast es gefunden, zu meinem {{c1::allergrößten}} Vergnügen.",1,02_harry_potter_und_die_kammer_des_schreckens
allerneue,,allerneue,ADJ,,,,,,,»Das allerneueste Modell.,»Das {{c1::allerneueste}} Modell.,1,02_harry_potter_und_die_kammer_des_schreckens
