lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Dobby,Dobby,NOUN,69,feminine,singular,,,,,"Dobby hat so lange darauf gewartet, Sie zu treffen, Sir ...","{{c1::Dobby}} hat so lange darauf gewartet, Sie zu treffen, Sir ...",02_harry_potter_und_die_kammer_des_schreckens
Maulende,Maulenden,NOUN,14,feminine,singular,Maulenden,,Maulenden (14),,"»Umdrehen, umdrehen, ich will nicht mit der Maulenden Myrte sprechen -«","»Umdrehen, umdrehen, ich will nicht mit der {{c1::Maulenden}} Myrte sprechen -«",02_harry_potter_und_die_kammer_des_schreckens
grinsend,grinsend,ADV,12,,,,,,,"»Ist nicht nötig«, sagte Ron grinsend und wies mit einem Kopfnicken auf seine Brüder.","»Ist nicht nötig«, sagte Ron {{c1::grinsend}} und wies mit einem Kopfnicken auf seine Brüder.",02_harry_potter_und_die_kammer_des_schreckens
Schlammblüter,Schlammblüter,NOUN,10,neuter,plural,Schlammblüter,Schlammblütern,Schlammblüter (7); Schlammblütern (2),,"Ihr seid die Nächsten, Schlammblüter«","Ihr seid die Nächsten, {{c1::Schlammblüter}}«",02_harry_potter_und_die_kammer_des_schreckens
leuchtend,leuchtend,ADV,10,,,,,,,"Harry dagegen war klein und dünn, hatte leuchtend grüne Augen und immer zerzaustes rabenschwarzes Haar.","Harry dagegen war klein und dünn, hatte {{c1::leuchtend}} grüne Augen und immer zerzaustes rabenschwarzes Haar.",02_harry_potter_und_die_kammer_des_schreckens
angespannt,angespannt,ADV,9,,,,,,,"Harry lauschte angespannt, doch aus dem Schlafzimmer der Dursleys war nichts zu hören.","Harry lauschte {{c1::angespannt}}, doch aus dem Schlafzimmer der Dursleys war nichts zu hören.",02_harry_potter_und_die_kammer_des_schreckens
wider,wider,ADV,9,,,,,,,"Mrs Weasleys Geschrei, hundertmal lauter als sonst, ließ Teller und Löffel auf dem Tisch erzittern und hallte gellend laut von den steinernen Wänden wider.","Mrs Weasleys Geschrei, hundertmal lauter als sonst, ließ Teller und Löffel auf dem Tisch erzittern und hallte gellend laut von den steinernen Wänden {{c1::wider}}.",02_harry_potter_und_die_kammer_des_schreckens
Hauselfen,Hauselfen,NOUN,8,masculine,singular,Hauselfen,,Hauselfen (2),,"»Ahm - ich möchte ja nicht unhöflich sein, aber - das ist nicht der passende Augenblick für mich, um einen Hauselfen im Schlafzimmer zu haben.«","»Ahm - ich möchte ja nicht unhöflich sein, aber - das ist nicht der passende Augenblick für mich, um einen {{c1::Hauselfen}} im Schlafzimmer zu haben.«",02_harry_potter_und_die_kammer_des_schreckens
Schulrat,Schulräte,NOUN,8,masculine,plural,Schulräte,Schulräten,Schulräte (6); Schulräten (1),,Das Ministerium muss etwas unternehmen die Schulräte haben sich ins Vernehmen gesetzt -«,Das Ministerium muss etwas unternehmen die {{c1::Schulräte}} haben sich ins Vernehmen gesetzt -«,02_harry_potter_und_die_kammer_des_schreckens
Zaubererwelt,Zaubererwelt,NOUN,8,feminine,singular,,,,,"Onkel Vernon hatte sogar den Käfig von Hedwig, Harrys Eule, mit einem Vorhängeschloss versehen, damit sie niemandem in der Zaubererwelt - Botschaften überbringen konnte.","Onkel Vernon hatte sogar den Käfig von Hedwig, Harrys Eule, mit einem Vorhängeschloss versehen, damit sie niemandem in der {{c1::Zaubererwelt}} - Botschaften überbringen konnte.",02_harry_potter_und_die_kammer_des_schreckens
Mucks,Mucks,NOUN,6,masculine,singular,Muckse,Mucksen,,,"»Ich bin in meinem Schlafzimmer, mache keinen Mucks und tu so, als ob ich nicht da wäre«, sagte Harry mit tonloser Stimme.","»Ich bin in meinem Schlafzimmer, mache keinen {{c1::Mucks}} und tu so, als ob ich nicht da wäre«, sagte Harry mit tonloser Stimme.",02_harry_potter_und_die_kammer_des_schreckens
Todestagsfeier,Todestagsfeier,NOUN,6,feminine,singular,,,,,Die Todestagsfeier,Die {{c1::Todestagsfeier}},02_harry_potter_und_die_kammer_des_schreckens
