front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
aberwitzig,ludicrous (gehoben: völlig unsinnig),aberwitzig,ADJ,,,,,ludicrous (gehoben: völlig unsinnig),dictionary-en,"Es dauerte eine Weile, bis sie diese aberwitzige Behauptung verdaut hatten.","Es dauerte eine Weile, bis sie diese {{c1::aberwitzige}} Behauptung verdaut hatten.",1,03_harry_potter_und_der_gefangene_von_askaban
abgebrochen,,abgebrochen,ADJ,,,,,,,"Sie sahen, wie Lupin einen abgebrochenen Zweig aus dem Gras hob und den Knoten am Baumstamm anstupste.","Sie sahen, wie Lupin einen {{c1::abgebrochenen}} Zweig aus dem Gras hob und den Knoten am Baumstamm anstupste.",1,03_harry_potter_und_der_gefangene_von_askaban
abgeschnittenen,,abgeschnittenen,ADJ,,,,,,,Der Augapfel wurde zu einer abgeschnittenen Hand;,Der Augapfel wurde zu einer {{c1::abgeschnittenen}} Hand;,1,03_harry_potter_und_der_gefangene_von_askaban
abgespreizt,,abgespreizt,ADJ,,,,,,,Tante Petunia schlürfte mit abgespreiztem kleinem Finger an ihrem Kaffee.,Tante Petunia schlürfte mit {{c1::abgespreiztem}} kleinem Finger an ihrem Kaffee.,1,03_harry_potter_und_der_gefangene_von_askaban
abgewandtem,,abgewandtem,ADJ,,,,,,,"Nach jeder Verwandlungsstunde fragte er jetzt Professor McGonagall nach dem Feuerblitz, und Ron stand ihm hoffnungsvoll zur Seite, während Hermine mit abgewandtem Gesicht vorbeirauschte.","Nach jeder Verwandlungsstunde fragte er jetzt Professor McGonagall nach dem Feuerblitz, und Ron stand ihm hoffnungsvoll zur Seite, während Hermine mit {{c1::abgewandtem}} Gesicht vorbeirauschte.",1,03_harry_potter_und_der_gefangene_von_askaban
abstehenden,,abstehenden,ADJ,,,,,,,"achtzehn oder neunzehn höchstens, mit großen, abstehenden Ohren und einer hübschen Portion Pickel.","achtzehn oder neunzehn höchstens, mit großen, {{c1::abstehenden}} Ohren und einer hübschen Portion Pickel.",2,03_harry_potter_und_der_gefangene_von_askaban
achte,"eighth (nach dem/der siebten kommend, dem neunten vorausgehend)",achte,ADJ,,,,,"eighth (nach dem/der siebten kommend, dem neunten vorausgehend)",dictionary-en,"»Achte nicht auf ihn«, sagte Hermine, die dicht hinter Harry ging, »ignorier ihn einfach, er ist es nicht wert ...«","»{{c1::Achte}} nicht auf ihn«, sagte Hermine, die dicht hinter Harry ging, »ignorier ihn einfach, er ist es nicht wert ...«",3,03_harry_potter_und_der_gefangene_von_askaban
allmorgendlich,,allmorgendlich,ADJ,,,,,,,"Beim allmorgendlichen Frühstück im Tropfenden Kessel beobachtete Harry mit Vorliebe die anderen Gäste: komische kleine Hexen vom Land, die für einen Tag zum Einkaufsbummel gekommen waren;","Beim {{c1::allmorgendlichen}} Frühstück im Tropfenden Kessel beobachtete Harry mit Vorliebe die anderen Gäste: komische kleine Hexen vom Land, die für einen Tag zum Einkaufsbummel gekommen waren;",1,03_harry_potter_und_der_gefangene_von_askaban
altehrwürdig,alto-(musik:-stimmlage-venerable,altehrwürdig,ADJ,,,,,alto-(musik:-stimmlage-venerable,heuristic-compound-split,"altehrwürdige Zauberer, die sich über den jüngsten Aufsatz in Verwandlung Heute stritten;","{{c1::altehrwürdige}} Zauberer, die sich über den jüngsten Aufsatz in Verwandlung Heute stritten;",1,03_harry_potter_und_der_gefangene_von_askaban
altertümlich,,altertümlich,ADJ,,,,,,,"Mr Weasley führte Harry über das kurze Stück Gehweg zum ersten der beiden altertümlichen dunkelgrünen Wagen, an deren Steuer wachsam umherblickende","Mr Weasley führte Harry über das kurze Stück Gehweg zum ersten der beiden {{c1::altertümlichen}} dunkelgrünen Wagen, an deren Steuer wachsam umherblickende",1,03_harry_potter_und_der_gefangene_von_askaban
anderr,,anderr,ADJ,,,,,,,Professor Lupin sah neben all den andern Lehrern in ihren besten Umhängen besonders schäbig aus.,Professor Lupin sah neben all den {{c1::andern}} Lehrern in ihren besten Umhängen besonders schäbig aus.,1,03_harry_potter_und_der_gefangene_von_askaban
andächtig,"prayerful (in Andacht versunken, am Gebet/Gottesdienst/einem spirituellen Inhalt innerlich beteiligt); devotional (in Andacht versunken, am Gebet/Gottesdienst/einem spirituellen Inhalt innerlich beteiligt)",andächtig,ADJ,,,,,"prayerful (in Andacht versunken, am Gebet/Gottesdienst/einem spirituellen Inhalt innerlich beteiligt); devotional (in Andacht versunken, am Gebet/Gottesdienst/einem spirituellen Inhalt innerlich beteiligt)",dictionary-en,"»Wer hat dir den geschickt?«, fragte Ron mit andächtiger Stimme.","»Wer hat dir den geschickt?«, fragte Ron mit {{c1::andächtiger}} Stimme.",1,03_harry_potter_und_der_gefangene_von_askaban
angebracht,"suitable (in einem bestimmten Zusammenhang richtig sein, für einen bestimmten Fall genau passend sein); appropriate (in einem bestimmten Zusammenhang richtig sein, für einen bestimmten Fall genau passend sein)",angebracht,ADJ,,,,,"suitable (in einem bestimmten Zusammenhang richtig sein, für einen bestimmten Fall genau passend sein); appropriate (in einem bestimmten Zusammenhang richtig sein, für einen bestimmten Fall genau passend sein)",dictionary-en,"Eine Quidditch-Mannschaft besteht aus sieben Spielern: aus drei Jägern, deren Aufgabe es ist, den Quaffel (einen roten, fußballgroßen Ball) durch die in zwanzig Meter Höhe auf Stangen an beiden Seiten des Spielfelds angebrachten Ringe zu werfen;","Eine Quidditch-Mannschaft besteht aus sieben Spielern: aus drei Jägern, deren Aufgabe es ist, den Quaffel (einen roten, fußballgroßen Ball) durch die in zwanzig Meter Höhe auf Stangen an beiden Seiten des Spielfelds {{c1::angebrachten}} Ringe zu werfen;",1,03_harry_potter_und_der_gefangene_von_askaban
angegraut,,angegraut,ADJ,,,,,,,"Er wischte sich das angegraute Haar aus den Augen, dachte einen Moment lang nach und sagte dann:","Er wischte sich das {{c1::angegraute}} Haar aus den Augen, dachte einen Moment lang nach und sagte dann:",1,03_harry_potter_und_der_gefangene_von_askaban
angeknabbertem,,angeknabbertem,ADJ,,,,,,,"Der Blick der Hexe wanderte von Krätzes angeknabbertem linkem Ohr zu seiner Vorderpfote, an der ein Zeh fehlte, und er tat sein Missfallen laut kund.","Der Blick der Hexe wanderte von Krätzes {{c1::angeknabbertem}} linkem Ohr zu seiner Vorderpfote, an der ein Zeh fehlte, und er tat sein Missfallen laut kund.",1,03_harry_potter_und_der_gefangene_von_askaban
