lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Dementor,Dementor,NOUN,143,masculine,singular,Dementoren,,Dementoren (97),,Der Dementor,Der {{c1::Dementor}},03_harry_potter_und_der_gefangene_von_askaban
Feuerblitz,Feuerblitz,NOUN,77,masculine,singular,,,,,"Der Feuerblitz Dieser Rennbesen nach neuestem Stand der Technik hat einen stromlinienförmigen, superveredelten Stiel aus Eschenholz mit diamantharter Politur und von Hand eingemeißelter Registriernummer.","Der {{c1::Feuerblitz}} Dieser Rennbesen nach neuestem Stand der Technik hat einen stromlinienförmigen, superveredelten Stiel aus Eschenholz mit diamantharter Politur und von Hand eingemeißelter Registriernummer.",03_harry_potter_und_der_gefangene_von_askaban
Irrwicht,Irrwicht,NOUN,36,masculine,singular,Irrwichte,Irrwichten,Irrwichte (3); Irrwichten (1),,Der Irrwicht im Schrank,Der {{c1::Irrwicht}} im Schrank,03_harry_potter_und_der_gefangene_von_askaban
Hippogreif,Hippogreife,NOUN,29,masculine,singular,Hippogreife,,Hippogreife (5),,"»Hippogreife«, donnerte Hagrid glückselig und winkte Ihnen zu.","»{{c1::Hippogreife}}«, donnerte Hagrid glückselig und winkte Ihnen zu.",03_harry_potter_und_der_gefangene_von_askaban
Patronus,Patronus,NOUN,26,masculine,singular,,,,,Der Patronus,Der {{c1::Patronus}},03_harry_potter_und_der_gefangene_von_askaban
Wahrsag,Wahrsagen,NOUN,17,neuter,plural,Wahrsagen,,Wahrsagen (9),,darunter auch die für seine neuen Fächer Pflege magischer Geschöpfe und Wahrsagen.,darunter auch die für seine neuen Fächer Pflege magischer Geschöpfe und {{c1::Wahrsagen}}.,03_harry_potter_und_der_gefangene_von_askaban
nich,nich,ADV,15,,,,,,,Unter Wasser geht's nich.,Unter Wasser geht's {{c1::nich}}.,03_harry_potter_und_der_gefangene_von_askaban
Geheimniswahrer,Geheimniswahrer,NOUN,9,masculine,singular,,,,,"Die Information wird in der gewählten Person, dem Geheimniswahrer, versteckt und ist fortan unauffindbar - außer natürlich, der Wahrer des Geheimnisses beschließt, es zu verraten.","Die Information wird in der gewählten Person, dem {{c1::Geheimniswahrer}}, versteckt und ist fortan unauffindbar - außer natürlich, der Wahrer des Geheimnisses beschließt, es zu verraten.",03_harry_potter_und_der_gefangene_von_askaban
Butterbier,Butterbier,NOUN,8,neuter,singular,,,,,"Bei Derwisch und Banges, dem Laden für Zauberei-Ausstattung, in Zonkos Scherzartikelladen, in den Drei Besen, um dampfende Becher heißes Butterbier zu trinken, und das war noch längst nicht alles.","Bei Derwisch und Banges, dem Laden für Zauberei-Ausstattung, in Zonkos Scherzartikelladen, in den Drei Besen, um dampfende Becher heißes {{c1::Butterbier}} zu trinken, und das war noch längst nicht alles.",03_harry_potter_und_der_gefangene_von_askaban
Grindeloh,Grindeloh,NOUN,8,neuter,singular,Grindelohs,,Grindelohs (2),,Gerade wurde ein Grindeloh für unsere nächste Stunde geliefert.,Gerade wurde ein {{c1::Grindeloh}} für unsere nächste Stunde geliefert.,03_harry_potter_und_der_gefangene_von_askaban
Entnebelung,Entnebelung,NOUN,6,feminine,singular,,,,,»Die Entnebelung der Zukunft.,»Die {{c1::Entnebelung}} der Zukunft.,03_harry_potter_und_der_gefangene_von_askaban
langen,langte,VERB,6,,,,,,,Er langte hinter sich und fummelte an der Türkette.,Er {{c1::langte}} hinter sich und fummelte an der Türkette.,03_harry_potter_und_der_gefangene_von_askaban
Animagi,Animagi,NOUN,5,,plural,Animagi,,Animagi (5),,"»Weil ... es bekannt wäre, wenn Peter Pettigrew ein Animagus gewesen wäre. Das Zaubereiministerium führt ein Verzeichnis aller Animagi ... das haben wir bei Professor McGonagall gelernt.","»Weil ... es bekannt wäre, wenn Peter Pettigrew ein Animagus gewesen wäre. Das Zaubereiministerium führt ein Verzeichnis aller {{c1::Animagi}} ... das haben wir bei Professor McGonagall gelernt.",03_harry_potter_und_der_gefangene_von_askaban
Magnolienring,Magnolienring,NOUN,5,masculine,singular,,,,,Zitternd sah er den Magnolienring entlang.,Zitternd sah er den {{c1::Magnolienring}} entlang.,03_harry_potter_und_der_gefangene_von_askaban
Nadelstreifenumhang,Nadelstreifenumhang,NOUN,5,masculine,singular,,,,,"Fudge, ein beleibter kleiner Mann in langem Nadelstreifenumhang, sah abweisend und erschöpft aus.","Fudge, ein beleibter kleiner Mann in langem {{c1::Nadelstreifenumhang}}, sah abweisend und erschöpft aus.",03_harry_potter_und_der_gefangene_von_askaban
Patronum,patronum,NOUN,5,masculine,plural,patronum,,patronum (4),,"»Die Beschwörungsformel lautet -«, Lupin räusperte sich, »expecto patronum.«","»Die Beschwörungsformel lautet -«, Lupin räusperte sich, »expecto {{c1::patronum}}.«",03_harry_potter_und_der_gefangene_von_askaban
Vorderpfote,Vorderpfote,NOUN,5,feminine,singular,Vorderpfoten,,Vorderpfoten (2),,"Der Blick der Hexe wanderte von Krätzes angeknabbertem linkem Ohr zu seiner Vorderpfote, an der ein Zeh fehlte, und er tat sein Missfallen laut kund.","Der Blick der Hexe wanderte von Krätzes angeknabbertem linkem Ohr zu seiner {{c1::Vorderpfote}}, an der ein Zeh fehlte, und er tat sein Missfallen laut kund.",03_harry_potter_und_der_gefangene_von_askaban
