front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
aalglatt,,aalglatt,ADJ,,,,,,,"»Lucius, mein aalglatter Freund«, flüsterte er und blieb vor ihm stehen.","»Lucius, mein {{c1::aalglatter}} Freund«, flüsterte er und blieb vor ihm stehen.",1,04_harry_potter_und_der_feuerkelch
abermalig,,abermalig,ADJ,,,,,,,"Dann, unter abermaligem Rauschen, rief George »zum Fuchsbau!","Dann, unter {{c1::abermaligem}} Rauschen, rief George »zum Fuchsbau!",1,04_harry_potter_und_der_feuerkelch
abgebrannt,,abgebrannt,ADJ,,,,,,,"von den maskierten Zauberern war nichts mehr zu sehen, doch noch immer qualmten ein paar abgebrannte Zelte.","von den maskierten Zauberern war nichts mehr zu sehen, doch noch immer qualmten ein paar {{c1::abgebrannte}} Zelte.",1,04_harry_potter_und_der_feuerkelch
abgebrüht,,abgebrüht,ADJ,,,,,,,"In der ganzen Nachbarschaft hatten die Kinder fürchterliche Angst vor ihm – sogar mehr noch als vor »diesem Potter-Jungen«, der, wie man sie gewarnt hatte, ein abgebrühter Hooligan war und ins St.-Brutus-Sicherheitszentrum für unheilbar kriminelle Jungen ging.","In der ganzen Nachbarschaft hatten die Kinder fürchterliche Angst vor ihm – sogar mehr noch als vor »diesem Potter-Jungen«, der, wie man sie gewarnt hatte, ein {{c1::abgebrühter}} Hooligan war und ins St.-Brutus-Sicherheitszentrum für unheilbar kriminelle Jungen ging.",1,04_harry_potter_und_der_feuerkelch
abgedunkelt,,abgedunkelt,ADJ,,,,,,,"Das verschwommene Bild eines abgedunkelten Zimmers kam ihm in den Sinn … eine Schlange hatte auf einem Kaminvorleger gelegen … ein kleiner Mann namens Peter, Spitzname Wurmschwanz … und eine kalte, hohe Stimme … die Stimme Lord Voldemorts.","Das verschwommene Bild eines {{c1::abgedunkelten}} Zimmers kam ihm in den Sinn … eine Schlange hatte auf einem Kaminvorleger gelegen … ein kleiner Mann namens Peter, Spitzname Wurmschwanz … und eine kalte, hohe Stimme … die Stimme Lord Voldemorts.",1,04_harry_potter_und_der_feuerkelch
abgehackt,,abgehackt,ADJ,,,,,,,"Seine Stimme war ein abgehacktes, vor Angst versteinertes Schluchzen.","Seine Stimme war ein {{c1::abgehacktes}}, vor Angst versteinertes Schluchzen.",1,04_harry_potter_und_der_feuerkelch
abgeschattet,,abgeschattet,ADJ,,,,,,,"Er sah sich den Trimagischen Pokal in die Höhe halten, hörte das Toben der Menge, sah Chos leuchtendes Gesicht, voll Bewunderung ihm zugewandt, sah es deutlicher als je zuvor … und dann verblasste das Bild und er starrte nur noch in Cedrics abgeschattetes, stures Gesicht.","Er sah sich den Trimagischen Pokal in die Höhe halten, hörte das Toben der Menge, sah Chos leuchtendes Gesicht, voll Bewunderung ihm zugewandt, sah es deutlicher als je zuvor … und dann verblasste das Bild und er starrte nur noch in Cedrics {{c1::abgeschattetes}}, stures Gesicht.",1,04_harry_potter_und_der_feuerkelch
abgeschieden,,abgeschieden,ADJ,,,,,,,"Als sie endlich, nicht weit von der Koppel der Beauxbatons-Pferde, ein abgeschiedenes Fleckchen Land erreicht hatten, blieb Krum im Schatten der Bäume stehen und sah Harry ins Gesicht.","Als sie endlich, nicht weit von der Koppel der Beauxbatons-Pferde, ein {{c1::abgeschiedenes}} Fleckchen Land erreicht hatten, blieb Krum im Schatten der Bäume stehen und sah Harry ins Gesicht.",1,04_harry_potter_und_der_feuerkelch
abgestumpft,,abgestumpft,ADJ,,,,,,,"Sirius sah ihn voller Sorge an, mit Augen, die noch nicht ganz den Ausdruck verloren hatten, den ihnen Askaban eingebrannt hatte – diesen abgestumpften und gehetzten Blick.","Sirius sah ihn voller Sorge an, mit Augen, die noch nicht ganz den Ausdruck verloren hatten, den ihnen Askaban eingebrannt hatte – diesen {{c1::abgestumpften}} und gehetzten Blick.",1,04_harry_potter_und_der_feuerkelch
abwesend,,abwesend,ADJ,,,,,,,"Er sah sie mit einem seltsamen, leicht abwesenden Blick an und nuschelte zum Abschied »Fröhliche Weihnachten«.","Er sah sie mit einem seltsamen, leicht {{c1::abwesenden}} Blick an und nuschelte zum Abschied »Fröhliche Weihnachten«.",2,04_harry_potter_und_der_feuerkelch
achtbar,,achtbar,ADJ,,,,,,,"Der Ligusterweg sah genauso aus, wie eine achtbare Vorstadtstraße in den frühen Morgenstunden eines Samstags aussehen musste.","Der Ligusterweg sah genauso aus, wie eine {{c1::achtbare}} Vorstadtstraße in den frühen Morgenstunden eines Samstags aussehen musste.",1,04_harry_potter_und_der_feuerkelch
achtzehnjährig,,achtzehnjährig,ADJ,,,,,,,"Es war, als ob der achtzehnjährige Krum glaubte, er, Harry, sei ihm ebenbürtig – sei ein echter Rivale –","Es war, als ob der {{c1::achtzehnjährige}} Krum glaubte, er, Harry, sei ihm ebenbürtig – sei ein echter Rivale –",1,04_harry_potter_und_der_feuerkelch
achtzehnt,,achtzehnt,ADJ,,,,,,,"Unterdessen ließ sie Professor Binns, der Geist, der Geschichte der Zauberei lehrte, jede Woche einen Aufsatz über die Kobold-Aufstände im achtzehnten Jahrhundert schreiben.","Unterdessen ließ sie Professor Binns, der Geist, der Geschichte der Zauberei lehrte, jede Woche einen Aufsatz über die Kobold-Aufstände im {{c1::achtzehnten}} Jahrhundert schreiben.",2,04_harry_potter_und_der_feuerkelch
alarmierend,,alarmierend,ADJ,,,,,,,Hermines Vorderzähne – ohnehin schon überdurchschnittlich lang – wuchsen mit alarmierender Geschwindigkeit;,Hermines Vorderzähne – ohnehin schon überdurchschnittlich lang – wuchsen mit {{c1::alarmierender}} Geschwindigkeit;,2,04_harry_potter_und_der_feuerkelch
alarmiert,,alarmiert,ADJ,,,,,,,"»Todesrate?«, flüsterte Hermine mit alarmierter Miene.","»Todesrate?«, flüsterte Hermine mit {{c1::alarmierter}} Miene.",2,04_harry_potter_und_der_feuerkelch
allerbester,,allerbester,ADJ,,,,,,,Hagrid trug seinen allerbesten (und ganz fürchterlichen) haarigen braunen Anzug und eine gelb-orange karierte Krawatte.,Hagrid trug seinen {{c1::allerbesten}} (und ganz fürchterlichen) haarigen braunen Anzug und eine gelb-orange karierte Krawatte.,1,04_harry_potter_und_der_feuerkelch
allergrößt,,allergrößt,ADJ,,,,,,,"Mit allergrößtem Vergnügen teile ich euch mit, dass dieses Jahr in Hogwarts das Trimagische Turnier stattfinden wird.","Mit {{c1::allergrößtem}} Vergnügen teile ich euch mit, dass dieses Jahr in Hogwarts das Trimagische Turnier stattfinden wird.",2,04_harry_potter_und_der_feuerkelch
