lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Todesser,Todesser,NOUN,87,masculine,plural,Todesser,Todessern,Todesser (49); Todessern (12),,Die Todesser,Die {{c1::Todesser}},04_harry_potter_und_der_feuerkelch
Kröter,Kröter,NOUN,52,masculine,plural,Kröter,Krötern,Kröter (31); Krötern (6),,"»Wir warten besser auf die Slytherins, die wollen das sicher nicht verpassen, die Knallrümpfigen Kröter!«","»Wir warten besser auf die Slytherins, die wollen das sicher nicht verpassen, die Knallrümpfigen {{c1::Kröter}}!«",04_harry_potter_und_der_feuerkelch
Feuerkelch,Feuerkelch,NOUN,30,masculine,singular,,,,,Der Feuerkelch,Der {{c1::Feuerkelch}},04_harry_potter_und_der_feuerkelch
Hornschwanz,Hornschwanz,NOUN,27,feminine,singular,,,,,Der Ungarische Hornschwanz,Der Ungarische {{c1::Hornschwanz}},04_harry_potter_und_der_feuerkelch
Wurmschwanz,Wurmschwanz,NOUN,23,feminine,singular,Wurmschwanz,,Wurmschwanz (1),,"»Du wirst sie melken, bevor wir uns zurückziehen, Wurmschwanz«, sagte die zweite Stimme.","»Du wirst sie melken, bevor wir uns zurückziehen, {{c1::Wurmschwanz}}«, sagte die zweite Stimme.",04_harry_potter_und_der_feuerkelch
Wassermensch,Wassermenschen,NOUN,21,neuter,plural,Wassermenschen,,Wassermenschen (17),,"»Myrte, dort drin leben doch nicht etwa Wassermenschen?«","»Myrte, dort drin leben doch nicht etwa {{c1::Wassermenschen}}?«",04_harry_potter_und_der_feuerkelch
Hauselfe,Hauselfe,NOUN,20,feminine,singular,,,,,"Winky würde am liebsten wieder im Zelt vom Meister sein, Harry Potter, aber Winky tut, was man ihr befiehlt, Winky ist eine gute Hauselfe.","Winky würde am liebsten wieder im Zelt vom Meister sein, Harry Potter, aber Winky tut, was man ihr befiehlt, Winky ist eine gute {{c1::Hauselfe}}.",04_harry_potter_und_der_feuerkelch
Omnigla,Omniglas,NOUN,15,neuter,singular,,,,,Ron zog sein Omniglas hervor und spähte hinunter in die Menge auf der anderen Seite des Stadions.,Ron zog sein {{c1::Omniglas}} hervor und spähte hinunter in die Menge auf der anderen Seite des Stadions.,04_harry_potter_und_der_feuerkelch
Anstecker,Anstecker,NOUN,13,masculine,plural,Anstecker,Ansteckern,Anstecker (7); Ansteckern (1),,"Darin lagen etwa fünfzig Anstecker in verschiedenen Farben, doch alle mit derselben Aufschrift:","Darin lagen etwa fünfzig {{c1::Anstecker}} in verschiedenen Farben, doch alle mit derselben Aufschrift:",04_harry_potter_und_der_feuerkelch
Beauxbaton,Beauxbatons,NOUN,13,,plural,Beauxbatons,,Beauxbatons (13),,"»Sie sehen um einiges glücklicher aus als die anderen aus Beauxbatons«, sagte Harry.","»Sie sehen um einiges glücklicher aus als die anderen aus {{c1::Beauxbatons}}«, sagte Harry.",04_harry_potter_und_der_feuerkelch
