front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
abgebildet,,abgebildet,ADJ,,,,,,,"Per Anweisung des Zaubereiministeriums« jeder Hexe und jedem Zauberer für Informationen, die zur Wiederergreifung der abgebildeten Sträflinge führten, tausend Galleonen Belohnung.","Per Anweisung des Zaubereiministeriums« jeder Hexe und jedem Zauberer für Informationen, die zur Wiederergreifung der {{c1::abgebildeten}} Sträflinge führten, tausend Galleonen Belohnung.",1,05_harry_potter_und_der_orden_des_phoenix
abgedreht,,abgedreht,ADJ,,,,,,,"»Das sind Feuergeister«, sagte Luna, und ihre Glubschaugen weiteten sich, so dass sie noch abgedrehter wirkte als sonst, »riesig große Flammenwesen, die übers Land galoppieren und alles niederbrennen, was ihnen -«","»Das sind Feuergeister«, sagte Luna, und ihre Glubschaugen weiteten sich, so dass sie noch {{c1::abgedrehter}} wirkte als sonst, »riesig große Flammenwesen, die übers Land galoppieren und alles niederbrennen, was ihnen -«",1,05_harry_potter_und_der_orden_des_phoenix
abgekartet,,abgekartet,ADJ,,,,,,,"»Das könnte ein abgekartetes Spiel sein!«, rief Ron aufgeregt.","»Das könnte ein {{c1::abgekartetes}} Spiel sein!«, rief Ron aufgeregt.",1,05_harry_potter_und_der_orden_des_phoenix
abgelenkt,,abgelenkt,ADJ,,,,,,,"Für Harry war es sinnloser Lärm, die abgelenkten Flüche, die an ihnen vorbeiflogen, scherten ihn nicht, nichts war wichtig, außer dass Lupin endlich aufhören sollte so zu tun, als ob Sirius - der nur ein paar Schritte entfernt hinter dem alten Vorhang stand - nicht jeden Moment wieder auftauchen, sich das dunkle Haar aus dem Gesicht schütteln und mit Feuereifer erneut in die Schlacht stürzen würde.","Für Harry war es sinnloser Lärm, die {{c1::abgelenkten}} Flüche, die an ihnen vorbeiflogen, scherten ihn nicht, nichts war wichtig, außer dass Lupin endlich aufhören sollte so zu tun, als ob Sirius - der nur ein paar Schritte entfernt hinter dem alten Vorhang stand - nicht jeden Moment wieder auftauchen, sich das dunkle Haar aus dem Gesicht schütteln und mit Feuereifer erneut in die Schlacht stürzen würde.",1,05_harry_potter_und_der_orden_des_phoenix
abgetragen,,abgetragen,ADJ,,,,,,,"Neben Tonks war Lupin, das Gesicht bleich, das Haar noch grauer, in einem langen abgetragenen Cape, das einen schäbigen Pulli und eine ebensolche Hose bedeckte .","Neben Tonks war Lupin, das Gesicht bleich, das Haar noch grauer, in einem langen {{c1::abgetragenen}} Cape, das einen schäbigen Pulli und eine ebensolche Hose bedeckte .",1,05_harry_potter_und_der_orden_des_phoenix
abgetrennt,,abgetrennt,ADJ,,,,,,,"Sie legte einen Finger an die Lippen und führte Harry auf Zehenspitzen an einem Paar langer, mottenzerfressener Vorhänge vorbei, hinter denen Harry eine weitere Tür vermutete, und nachdem sie einen großen Schirmständer umrundet hatten, der aussah, als wäre er aus einem abgetrennten Trollbein gefertigt, stiegen sie die dunkle Treppe empor, vorbei an einer Reihe von Schrumpfköpfen, die auf Tafeln an der Wand befestigt waren.","Sie legte einen Finger an die Lippen und führte Harry auf Zehenspitzen an einem Paar langer, mottenzerfressener Vorhänge vorbei, hinter denen Harry eine weitere Tür vermutete, und nachdem sie einen großen Schirmständer umrundet hatten, der aussah, als wäre er aus einem {{c1::abgetrennten}} Trollbein gefertigt, stiegen sie die dunkle Treppe empor, vorbei an einer Reihe von Schrumpfköpfen, die auf Tafeln an der Wand befestigt waren.",3,05_harry_potter_und_der_orden_des_phoenix
abgetreten,,abgetreten,ADJ,,,,,,,Sie erstarrte in der Luft und fiel mit einem überraschend lauten Donk auf den abgetretenen Teppich.,Sie erstarrte in der Luft und fiel mit einem überraschend lauten Donk auf den {{c1::abgetretenen}} Teppich.,1,05_harry_potter_und_der_orden_des_phoenix
abgewetzt,,abgewetzt,ADJ,,,,,,,"Harry war von seinem Stuhl hinunter auf die Knie geglitten, kauerte auf dem versengten und abgewetzten Kaminvorleger und spähte in die Flammen.","Harry war von seinem Stuhl hinunter auf die Knie geglitten, kauerte auf dem versengten und {{c1::abgewetzten}} Kaminvorleger und spähte in die Flammen.",1,05_harry_potter_und_der_orden_des_phoenix
abnehmbar,,abnehmbar,ADJ,,,,,,,"Selbstantwortende Federn sind in der Prüfungshalle verboten, genau wie Erinnermichs, abnehmbare Spickmanschetten und selbstkorrigierende Tinte.","Selbstantwortende Federn sind in der Prüfungshalle verboten, genau wie Erinnermichs, {{c1::abnehmbare}} Spickmanschetten und selbstkorrigierende Tinte.",1,05_harry_potter_und_der_orden_des_phoenix
abschließend,,abschließend,ADJ,,,,,,,"Das abschließende Quidditch-Spiel der Saison, Gryffindor gegen Ravenclaw, sollte am letzten Maiwochenende stattfinden.","Das {{c1::abschließende}} Quidditch-Spiel der Saison, Gryffindor gegen Ravenclaw, sollte am letzten Maiwochenende stattfinden.",1,05_harry_potter_und_der_orden_des_phoenix
