lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Kreacher,Kreacher,NOUN,31,masculine,singular,Kreacher,,Kreacher (7),,"»Ich dachte, es war vielleicht Kreacher, der stellt ja dauernd dummes Zeug an.","»Ich dachte, es war vielleicht {{c1::Kreacher}}, der stellt ja dauernd dummes Zeug an.",05_harry_potter_und_der_orden_des_phoenix
Heiler,Heiler,NOUN,25,feminine,plural,Heilern,Heiler; Heilers,Heiler (5); Heilern (1),,"Nee, das sind Heiler.","Nee, das sind {{c1::Heiler}}.",05_harry_potter_und_der_orden_des_phoenix
Grimmauldplatz,Grimmauldplatz,NOUN,19,masculine,singular,,,,,"Er würde hierher zurückkehren, zum Grimmauldplatz, und bei Sirius leben.","Er würde hierher zurückkehren, zum {{c1::Grimmauldplatz}}, und bei Sirius leben.",05_harry_potter_und_der_orden_des_phoenix
Großinquisitorin,Großinquisitorin,NOUN,19,feminine,singular,,,,,Die Großinquisitorin von Hogwarts,Die {{c1::Großinquisitorin}} von Hogwarts,05_harry_potter_und_der_orden_des_phoenix
Okklumentik,Okklumentik,NOUN,19,feminine,singular,,,,,"»Der Schulleiter schickt mich, Potter, um Ihnen seinen Wunsch mitzuteilen, dass Sie nach den Ferien Okklumentik lernen.«","»Der Schulleiter schickt mich, Potter, um Ihnen seinen Wunsch mitzuteilen, dass Sie nach den Ferien {{c1::Okklumentik}} lernen.«",05_harry_potter_und_der_orden_des_phoenix
Tonks,Tonks,NOUN,19,masculine,singular,Tonks,,Tonks (4),,"»Nenn mich nicht Nymphadora, Remus«, sagte die junge Hexe schaudernd, »nur Tonks.«","»Nenn mich nicht Nymphadora, Remus«, sagte die junge Hexe schaudernd, »nur {{c1::Tonks}}.«",05_harry_potter_und_der_orden_des_phoenix
Bowtruckle,Bowtruckles,NOUN,13,neuter,plural,Bowtruckle,Bowtruckles,Bowtruckle (8); Bowtruckles (4),,"»Ja, dies sind Bowtruckles, und wie Miss Granger richtig sagt, leben sie meist in Bäumen, aus deren Holz Zauberstäbe gefertigt werden können.","»Ja, dies sind {{c1::Bowtruckles}}, und wie Miss Granger richtig sagt, leben sie meist in Bäumen, aus deren Holz Zauberstäbe gefertigt werden können.",05_harry_potter_und_der_orden_des_phoenix
Thestral,Thestrale,NOUN,12,masculine,plural,Thestrale,,Thestrale (11),,"»Die einzigen Menschen, die Thestrale sehen können«, sagte sie, »sind Menschen, die den Tod gesehen haben.«","»Die einzigen Menschen, die {{c1::Thestrale}} sehen können«, sagte sie, »sind Menschen, die den Tod gesehen haben.«",05_harry_potter_und_der_orden_des_phoenix
Zaubergamot,Zaubergamot,NOUN,11,neuter,singular,Zaubergamots,,Zaubergamots (1),,"Sie haben ihm das Amt des Großmeisters beim Zaubergamot entzogen - das ist das Oberste Gericht der Zauberer - und sie reden davon, ihm auch den Merlinorden erster Klasse abzuerkennen.","Sie haben ihm das Amt des Großmeisters beim {{c1::Zaubergamot}} entzogen - das ist das Oberste Gericht der Zauberer - und sie reden davon, ihm auch den Merlinorden erster Klasse abzuerkennen.",05_harry_potter_und_der_orden_des_phoenix
Phönixorden,Phönixordens,NOUN,9,neuter,singular,,,,,"Das Hauptquartier des Phönixordens befindet sich am Grimmauldplatz Nummer zwölf, London.","Das Hauptquartier des {{c1::Phönixordens}} befindet sich am Grimmauldplatz Nummer zwölf, London.",05_harry_potter_und_der_orden_des_phoenix
Glasglocke,Glasglocke,NOUN,8,feminine,singular,,,,,"Es stieg in dem Gefäß empor, zerbrach, und ein Kolibri kam hervor, der bis zur Spitze der Glocke gehoben wurde, doch als er in den Luftzug geriet, wurden seine Federn zerzaust und feucht, und ehe er wieder zum Boden der Glasglocke getragen worden war, war er erneut von seinem Ei umschlossen.","Es stieg in dem Gefäß empor, zerbrach, und ein Kolibri kam hervor, der bis zur Spitze der Glocke gehoben wurde, doch als er in den Luftzug geriet, wurden seine Federn zerzaust und feucht, und ehe er wieder zum Boden der {{c1::Glasglocke}} getragen worden war, war er erneut von seinem Ei umschlossen.",05_harry_potter_und_der_orden_des_phoenix
Langziehohr,Langziehohren,NOUN,8,neuter,plural,Langziehohren,,Langziehohren (7),,"Ich hab oben vom Treppenabsatz ans Stinkbomben dagegen geworfen, und die fliegen einfach von der Tür weg, also können die Langziehohren unmöglich durch den Türschlitz.","Ich hab oben vom Treppenabsatz ans Stinkbomben dagegen geworfen, und die fliegen einfach von der Tür weg, also können die {{c1::Langziehohren}} unmöglich durch den Türschlitz.",05_harry_potter_und_der_orden_des_phoenix
Schlossgründe,Schlossgründe,NOUN,8,feminine,singular,Schlossgründe,,Schlossgründe (2),,Dann läutete es von fern über die Schlossgründe.,Dann läutete es von fern über die {{c1::Schlossgründe}}.,05_harry_potter_und_der_orden_des_phoenix
hitzig,hitzig,ADV,8,,,,,,,"»Ich will nicht, dass irgendjemand mich anbetet -«, fuhr Harry hitzig auf.","»Ich will nicht, dass irgendjemand mich anbetet -«, fuhr Harry {{c1::hitzig}} auf.",05_harry_potter_und_der_orden_des_phoenix
Prüfer,Prüfer,NOUN,7,masculine,plural,Prüfern,Prüfer; Prüfers,Prüfer (3); Prüfern (1),,Sind das die Prüfer?,Sind das die {{c1::Prüfer}}?,05_harry_potter_und_der_orden_des_phoenix
