front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
abschließender,,abschließender,ADJ,,,,,,,eine letzte abschließende,eine letzte {{c1::abschließende}},1,06_harry_potter_und_der_halbblutprinz
absurd,,absurd,ADJ,,,,,,,diese absurden,diese {{c1::absurden}},2,06_harry_potter_und_der_halbblutprinz
aggressiv,,aggressiv,ADJ,,,,,,,"aggressiven Ron der letzten Wochen, forderte das auch einen hohen Preis","{{c1::aggressiven}} Ron der letzten Wochen, forderte das auch einen hohen Preis",1,06_harry_potter_und_der_halbblutprinz
aktuell,,aktuell,ADJ,,,,,,,"zwischen dem aktuellen Büro und diesem hier war, dass es in der Vergangenheit","zwischen dem {{c1::aktuellen}} Büro und diesem hier war, dass es in der Vergangenheit",1,06_harry_potter_und_der_halbblutprinz
alchemistisch,,alchemistisch,ADJ,,,,,,,"speziellen Bestandteil zu finden, der durch einen fast alchemistischen Prozess","speziellen Bestandteil zu finden, der durch einen fast {{c1::alchemistischen}} Prozess",1,06_harry_potter_und_der_halbblutprinz
allabendlich,,allabendlich,ADJ,,,,,,,allabendlichen abwischen der Küchenoberfläche.,{{c1::allabendlichen}} abwischen der Küchenoberfläche.,1,06_harry_potter_und_der_halbblutprinz
allerbe,,allerbe,ADJ,,,,,,,"""Der Zauber den ich vor fünfzehn Jahren aussprach, war das Harry den allerbesten","""Der Zauber den ich vor fünfzehn Jahren aussprach, war das Harry den {{c1::allerbesten}}",2,06_harry_potter_und_der_halbblutprinz
amüsiert,,amüsiert,ADJ,,,,,,,"Zabini gab ein Husten von sich, das sich deutlich nach amüsierter Skepsis anhörte.","Zabini gab ein Husten von sich, das sich deutlich nach {{c1::amüsierter}} Skepsis anhörte.",1,06_harry_potter_und_der_halbblutprinz
angeboten,,angeboten,ADJ,,,,,,,Harry ergriff den von Dumbledore angebotenen Unterarm.,Harry ergriff den von Dumbledore {{c1::angebotenen}} Unterarm.,1,06_harry_potter_und_der_halbblutprinz
angegriffen,,angegriffen,ADJ,,,,,,,"""Der angegriffene Muggel?","""Der {{c1::angegriffene}} Muggel?",1,06_harry_potter_und_der_halbblutprinz
angeklebt,,angeklebt,ADJ,,,,,,,"mit angeklebten kleinen Flügeln, sah er finster auf sie herunter.","mit {{c1::angeklebten}} kleinen Flügeln, sah er finster auf sie herunter.",1,06_harry_potter_und_der_halbblutprinz
angezündet,,angezündet,ADJ,,,,,,,"Slughorn imitiert hatte nicht unähnlich war, der neben dem neu angezündeten","Slughorn imitiert hatte nicht unähnlich war, der neben dem neu {{c1::angezündeten}}",1,06_harry_potter_und_der_halbblutprinz
antik,,antik,ADJ,,,,,,,"davor liegenden feinen, antiken Teppich gestiegen und klopfte die Asche von","davor liegenden feinen, {{c1::antiken}} Teppich gestiegen und klopfte die Asche von",2,06_harry_potter_und_der_halbblutprinz
anzüglich,,anzüglich,ADJ,,,,,,,"Es war ein straffes anzügliches Grinsen, böse","Es war ein straffes {{c1::anzügliches}} Grinsen, böse",2,06_harry_potter_und_der_halbblutprinz
arrangiert,,arrangiert,ADJ,,,,,,,"informierte das Fallen mit Devensivzaubern, ein arrangierter Komplex an","informierte das Fallen mit Devensivzaubern, ein {{c1::arrangierter}} Komplex an",1,06_harry_potter_und_der_halbblutprinz
"aufdrückte,""sagt",,"aufdrückte,""sagt",ADJ,,,,,,,"""Nun, ich weiß, dass ich die Tür aufdrückte,""sagte Katie"", so dass ich","""Nun, ich weiß, dass ich die Tür {{c1::aufdrückte,""sagte}} Katie"", so dass ich",1,06_harry_potter_und_der_halbblutprinz
aufhörensein,,aufhörensein,ADJ,,,,,,,"""ich wünschte du würdest aufhörenseinen Namen auszusprechen, Harry"", sagte","""ich wünschte du würdest {{c1::aufhörenseinen}} Namen auszusprechen, Harry"", sagte",1,06_harry_potter_und_der_halbblutprinz
aufjaulte,,aufjaulte,ADJ,,,,,,,"wie ein Hagel goldener Kugeln in Rons Richtung, der aufjaulte und sein Gesicht mit","wie ein Hagel goldener Kugeln in Rons Richtung, der {{c1::aufjaulte}} und sein Gesicht mit",1,06_harry_potter_und_der_halbblutprinz
aufwärtsgerichtet,,aufwärtsgerichtet,ADJ,,,,,,,aufwärtsgerichtetes Schnipsen und sagte Levicorpus in seinem Kopf.,{{c1::aufwärtsgerichtetes}} Schnipsen und sagte Levicorpus in seinem Kopf.,1,06_harry_potter_und_der_halbblutprinz
ausdrucklos,,ausdrucklos,ADJ,,,,,,,"an, Sir"", sagte er schließlich, in einer ausdrucklosen Stimme.","an, Sir"", sagte er schließlich, in einer {{c1::ausdrucklosen}} Stimme.",1,06_harry_potter_und_der_halbblutprinz
ausgeführt,,ausgeführt,ADJ,,,,,,,"""Es war offensichtlich die Reaktion auf einen schlecht ausgeführten ImperiusFluch,"" sagte Scrimgeour.","""Es war offensichtlich die Reaktion auf einen schlecht {{c1::ausgeführten}} ImperiusFluch,"" sagte Scrimgeour.",1,06_harry_potter_und_der_halbblutprinz
ausgeleiert,,ausgeleiert,ADJ,,,,,,,ausgeleierte Verbindungen und ich weiß nicht was noch alles!,{{c1::ausgeleierte}} Verbindungen und ich weiß nicht was noch alles!,1,06_harry_potter_und_der_halbblutprinz
ausgewähln,,ausgewähln,ADJ,,,,,,,ihren ausgewählten U.T.Z. weiterzumachen,ihren {{c1::ausgewählten}} U.T.Z. weiterzumachen,1,06_harry_potter_und_der_halbblutprinz
ausgreifend,,ausgreifend,ADJ,,,,,,,"Er ging mit ausgreifenden Schritten, vorbei an einer leeren Kneipe und ein paar","Er ging mit {{c1::ausgreifenden}} Schritten, vorbei an einer leeren Kneipe und ein paar",1,06_harry_potter_und_der_halbblutprinz
außergewöhnlichst,,außergewöhnlichst,ADJ,,,,,,,"die Außergewöhnlichste Gesellschaft von Zaubertrankherstellern gründete,","die {{c1::Außergewöhnlichste}} Gesellschaft von Zaubertrankherstellern gründete,",1,06_harry_potter_und_der_halbblutprinz
beendet,,beendet,ADJ,,,,,,,von dem durchweichten Pergament zu wischen das einmal ein fast beendeter,von dem durchweichten Pergament zu wischen das einmal ein fast {{c1::beendeter}},1,06_harry_potter_und_der_halbblutprinz
befestigt,,befestigt,ADJ,,,,,,,"unterbrach der Fast-Kopflose-Nick, seinen kaum befestigten Kopf zu","unterbrach der Fast-Kopflose-Nick, seinen kaum {{c1::befestigten}} Kopf zu",1,06_harry_potter_und_der_halbblutprinz
befleckt,,befleckt,ADJ,,,,,,,befleckte Mundharmonika unter ihnen.,{{c1::befleckte}} Mundharmonika unter ihnen.,1,06_harry_potter_und_der_halbblutprinz
begrüste,,begrüste,ADJ,,,,,,,"""Molly - Arthur-"" sagte Professor McGonagall, sprang auf und begrüste","""Molly - Arthur-"" sagte Professor McGonagall, sprang auf und {{c1::begrüste}}",1,06_harry_potter_und_der_halbblutprinz
belauscht,,belauscht,ADJ,,,,,,,Der belauschte Seher,Der {{c1::belauschte}} Seher,3,06_harry_potter_und_der_halbblutprinz
beleibt,,beleibt,ADJ,,,,,,,"gezeichnet, ganz anders als der beleibte Mr. Fudge mit seiner Melone.","gezeichnet, ganz anders als der {{c1::beleibte}} Mr. Fudge mit seiner Melone.",1,06_harry_potter_und_der_halbblutprinz
beobachtet,,beobachtet,ADJ,,,,,,,"""Hoffe, es funktioniert gut"", sagte Ron, und die beiden beobachteten Harry, wie er","""Hoffe, es funktioniert gut"", sagte Ron, und die beiden {{c1::beobachteten}} Harry, wie er",1,06_harry_potter_und_der_halbblutprinz
bernsteinfarbig,,bernsteinfarbig,ADJ,,,,,,,Ihre bernsteinfarbigen Augen,Ihre {{c1::bernsteinfarbigen}} Augen,1,06_harry_potter_und_der_halbblutprinz
beschränkt,,beschränkt,ADJ,,,,,,,beschränkte Zeit mit Ginny hätte noch mehr beschränkte.,{{c1::beschränkte}} Zeit mit Ginny hätte noch mehr beschränkte.,1,06_harry_potter_und_der_halbblutprinz
beschäftigt,,beschäftigt,ADJ,,,,,,,"""Gut gut, Ich bin ein beschäftigter Mann, also lassen sie uns","""Gut gut, Ich bin ein {{c1::beschäftigter}} Mann, also lassen sie uns",1,06_harry_potter_und_der_halbblutprinz
besonnen,,besonnen,ADJ,,,,,,,"""Noch... der besonnene Zauberer hält seinen Kopf in Zeiten wie diesen unten.","""Noch... der {{c1::besonnene}} Zauberer hält seinen Kopf in Zeiten wie diesen unten.",1,06_harry_potter_und_der_halbblutprinz
besserer,,besserer,ADJ,,,,,,,"""Besserer Grund für die Einladung von jemandem, als weil ihre Mutter berühmt","""{{c1::Besserer}} Grund für die Einladung von jemandem, als weil ihre Mutter berühmt",1,06_harry_potter_und_der_halbblutprinz
bestückt,,bestückt,ADJ,,,,,,,und ein wackeliger Tisch waren unter einem mit Kerzen bestückten Kronleuchter,und ein wackeliger Tisch waren unter einem mit Kerzen {{c1::bestückten}} Kronleuchter,1,06_harry_potter_und_der_halbblutprinz
besucht,,besucht,ADJ,,,,,,,"dunkleren, weniger besuchten Raum.","dunkleren, weniger {{c1::besuchten}} Raum.",1,06_harry_potter_und_der_halbblutprinz
bewappnet,,bewappnet,ADJ,,,,,,,"des Bodens lag ein lila, bewappnetes Blättchen, mit den Worten:","des Bodens lag ein lila, {{c1::bewappnetes}} Blättchen, mit den Worten:",1,06_harry_potter_und_der_halbblutprinz
