front,back,lemma,pos,gender,plural,plural_display,plural_alternatives,translations,translation_source,example,example_cloze,frequency,book
abgeflacht,,abgeflacht,ADJ,,,,,,,"Eine kleine Eule mit leicht abgeflachtem, falkenartigem Kopf spähte von einem der Äste zu ihnen herab.","Eine kleine Eule mit leicht {{c1::abgeflachtem}}, falkenartigem Kopf spähte von einem der Äste zu ihnen herab.",2,07_harry_potter_und_die_heiligtuemer_des_todes
abgegriffen,,abgegriffen,ADJ,,,,,,,"Fleur holte ein abgegriffenes samtenes Kästchen hervor, das sie öffnete, um dem Zauberstabmacher zu zeigen, was darin war.","Fleur holte ein {{c1::abgegriffenes}} samtenes Kästchen hervor, das sie öffnete, um dem Zauberstabmacher zu zeigen, was darin war.",1,07_harry_potter_und_die_heiligtuemer_des_todes
abgelegen,,abgelegen,ADJ,,,,,,,"Plötzlich wurde Harry bewusst, dass er seit jenen heimlichen Treffen in abgelegenen Winkeln auf dem Hogwarts-Gelände zum ersten Mal allein mit ihr war.","Plötzlich wurde Harry bewusst, dass er seit jenen heimlichen Treffen in {{c1::abgelegenen}} Winkeln auf dem Hogwarts-Gelände zum ersten Mal allein mit ihr war.",3,07_harry_potter_und_die_heiligtuemer_des_todes
abgeschlagen,,abgeschlagen,ADJ,,,,,,,"Er zog seinen Zauberstab hervor, trat in die Schatten neben den abgeschlagenen Elfenköpfen und wartete.","Er zog seinen Zauberstab hervor, trat in die Schatten neben den {{c1::abgeschlagenen}} Elfenköpfen und wartete.",2,07_harry_potter_und_die_heiligtuemer_des_todes
abgetragener,,abgetragener,ADJ,,,,,,,"zu kurze Jeans, ein abgetragener, zu großer Mantel, der vielleicht einem Erwachsenen gehörte, ein merkwürdiges, kittelartiges Hemd.","zu kurze Jeans, ein {{c1::abgetragener}}, zu großer Mantel, der vielleicht einem Erwachsenen gehörte, ein merkwürdiges, kittelartiges Hemd.",1,07_harry_potter_und_die_heiligtuemer_des_todes
abgezehrt,,abgezehrt,ADJ,,,,,,,"Schrecklich vertraut, entsetzlich verändert, hob sie einen abgezehrten Arm und richtete ihn auf Harry.","Schrecklich vertraut, entsetzlich verändert, hob sie einen {{c1::abgezehrten}} Arm und richtete ihn auf Harry.",1,07_harry_potter_und_die_heiligtuemer_des_todes
abstrakt,,abstrakt,ADJ,,,,,,,"Das Eisen verzog sich, die abstrakten Schnörkel und Spiralen lösten sich auf, und ein Furcht erregendes Gesicht wand sich heraus, das mit metallisch klirrender, widerhallender Stimme sprach: »Was ist Euer Begehr?","Das Eisen verzog sich, die {{c1::abstrakten}} Schnörkel und Spiralen lösten sich auf, und ein Furcht erregendes Gesicht wand sich heraus, das mit metallisch klirrender, widerhallender Stimme sprach: »Was ist Euer Begehr?",1,07_harry_potter_und_die_heiligtuemer_des_todes
abtastet,,abtastet,ADJ,,,,,,,"Er nahm das zornige Stechen seiner Narbe kaum wahr, als nun auch er im Keller umherzulaufen begann und die Wände nach etwas abtastete, von dem er keine rechte Vorstellung hatte, wobei er im Grunde wusste, dass es sinnlos war.","Er nahm das zornige Stechen seiner Narbe kaum wahr, als nun auch er im Keller umherzulaufen begann und die Wände nach etwas {{c1::abtastete}}, von dem er keine rechte Vorstellung hatte, wobei er im Grunde wusste, dass es sinnlos war.",1,07_harry_potter_und_die_heiligtuemer_des_todes
achtdreiviertel,,achtdreiviertel,ADJ,,,,,,,"Achtdreiviertel Zoll, Kirsche, Kern Einhornhaar.","{{c1::Achtdreiviertel}} Zoll, Kirsche, Kern Einhornhaar.",1,07_harry_potter_und_die_heiligtuemer_des_todes
adrett,,adrett,ADJ,,,,,,,"Onkel Vernon eine rehbraune Reißverschlussjacke, Tante Petunia einen adretten lachsfarbenen Mantel und Dudley, Harrys großer, blonder, muskelbepackter Cousin, seine Lederjacke.","Onkel Vernon eine rehbraune Reißverschlussjacke, Tante Petunia einen {{c1::adretten}} lachsfarbenen Mantel und Dudley, Harrys großer, blonder, muskelbepackter Cousin, seine Lederjacke.",1,07_harry_potter_und_die_heiligtuemer_des_todes
albanisch,,albanisch,ADJ,,,,,,,"Und waren Voldemort jene abgelegenen albanischen Wälder nicht wie eine hervorragende Zuflucht erschienen, als er sehr viel später einen Platz brauchte, wo er sich zehn lange Jahre ungestört versteckt halten konnte?","Und waren Voldemort jene abgelegenen {{c1::albanischen}} Wälder nicht wie eine hervorragende Zuflucht erschienen, als er sehr viel später einen Platz brauchte, wo er sich zehn lange Jahre ungestört versteckt halten konnte?",1,07_harry_potter_und_die_heiligtuemer_des_todes
alleinig,,alleinig,ADJ,,,,,,,"»Das macht es nicht zum alleinigen Eigentum von Mr Potter, was auch immer Dumbledore beschlossen haben mag.","»Das macht es nicht zum {{c1::alleinigen}} Eigentum von Mr Potter, was auch immer Dumbledore beschlossen haben mag.",1,07_harry_potter_und_die_heiligtuemer_des_todes
altbewährt,,altbewährt,ADJ,,,,,,,"Dennoch gelang es mir, ihr mit einer Kombination altbewährter journalistischer Techniken genügend harte Fakten zu entlocken, um die ganze skandalöse Geschichte der Reihe nach erzählen zu können.","Dennoch gelang es mir, ihr mit einer Kombination {{c1::altbewährter}} journalistischer Techniken genügend harte Fakten zu entlocken, um die ganze skandalöse Geschichte der Reihe nach erzählen zu können.",1,07_harry_potter_und_die_heiligtuemer_des_todes
amethystfarben,,amethystfarben,ADJ,,,,,,,Mrs Weasley trug einen brandneuen amethystfarbenen Festumhang mit einem dazu passenden Hut.,Mrs Weasley trug einen brandneuen {{c1::amethystfarbenen}} Festumhang mit einem dazu passenden Hut.,1,07_harry_potter_und_die_heiligtuemer_des_todes
