lemma,surface,pos,frequency,context_gender,context_number,plural,plural_alternatives,plural_candidates,verb_forms,example_sentence,example_cloze,book
Horkrux,Horkruxen,NOUN,59,masculine,plural,Horkruxen,,Horkruxen (4),,"Angenommen, ich überlebe unsere Jagd nach den Horkruxen, dann werde ich Mum und Dad finden und den Zauberbann lösen.","Angenommen, ich überlebe unsere Jagd nach den {{c1::Horkruxen}}, dann werde ich Mum und Dad finden und den Zauberbann lösen.",07_harry_potter_und_die_heiligtuemer_des_todes
Elderstab,Elderstab,NOUN,50,masculine,singular,,,,,"Natürlich konnte er mit dem Elderstab als Waffe in dem Duell, das darauf folgte, nur gewinnen.","Natürlich konnte er mit dem {{c1::Elderstab}} als Waffe in dem Duell, das darauf folgte, nur gewinnen.",07_harry_potter_und_die_heiligtuemer_des_todes
Deluminator,Deluminator,NOUN,13,masculine,singular,Deluminatoren,,Deluminatoren (1),,"Weasley hinterlasse ich meinen Deluminator in der Hoffnung, dass er an mich denkt, wenn er ihn benutzt.","Weasley hinterlasse ich meinen {{c1::Deluminator}} in der Hoffnung, dass er an mich denkt, wenn er ihn benutzt.",07_harry_potter_und_die_heiligtuemer_des_todes
Druckerpresse,Druckerpresse,NOUN,8,feminine,singular,,,,,"Es sah aus wie die skurrile Kreuzung von einer Werkbank und einer alten Regalwand, doch da das Ding den Klitterer ausspuckte, schloss Harry bald, dass es sich um eine altmodische Druckerpresse handelte.","Es sah aus wie die skurrile Kreuzung von einer Werkbank und einer alten Regalwand, doch da das Ding den Klitterer ausspuckte, schloss Harry bald, dass es sich um eine altmodische {{c1::Druckerpresse}} handelte.",07_harry_potter_und_die_heiligtuemer_des_todes
Todesstab,Todesstab,NOUN,8,masculine,singular,,,,,"»Der Todesstab, der Zauberstab des Schicksals, die treten im Lauf der Jahrhunderte unter verschiedenen Namen auf, meist im Besitz eines schwarzen Magiers, der mit ihnen prahlt.","»Der {{c1::Todesstab}}, der Zauberstab des Schicksals, die treten im Lauf der Jahrhunderte unter verschiedenen Namen auf, meist im Besitz eines schwarzen Magiers, der mit ihnen prahlt.",07_harry_potter_und_die_heiligtuemer_des_todes
Horkruxe,Horkruxe,NOUN,7,feminine,plural,Horkruxe,,Horkruxe (4),,"»Ich dachte, es gab keine Bücher über Horkruxe in der Bibliothek?«","»Ich dachte, es gab keine Bücher über {{c1::Horkruxe}} in der Bibliothek?«",07_harry_potter_und_die_heiligtuemer_des_todes
Perlentasche,Perlentasche,NOUN,7,feminine,singular,,,,,"Ich wette, das Kleingeld ist ganz unten«, seufzte Hermine und griff nach ihrer Perlentasche.","Ich wette, das Kleingeld ist ganz unten«, seufzte Hermine und griff nach ihrer {{c1::Perlentasche}}.",07_harry_potter_und_die_heiligtuemer_des_todes
Zwillingskerne,Zwillingskerne,NOUN,6,,plural,Zwillingskerne,,Zwillingskerne (6),,"Voldemort hatte nichts über Harrys Zauberstab gesagt, nichts über die Zwillingskerne, nichts darüber, dass Gregorowitsch einen neuen und mächtigeren Zauberstab anfertigen solle, um den von Harry zu schlagen …","Voldemort hatte nichts über Harrys Zauberstab gesagt, nichts über die {{c1::Zwillingskerne}}, nichts darüber, dass Gregorowitsch einen neuen und mächtigeren Zauberstab anfertigen solle, um den von Harry zu schlagen …",07_harry_potter_und_die_heiligtuemer_des_todes
Kindergeschichte,Kindergeschichten,NOUN,5,,plural,Kindergeschichten,,Kindergeschichten (5),,"Die ganzen alten Kindergeschichten sollen doch von Beedle sein, oder?","Die ganzen alten {{c1::Kindergeschichten}} sollen doch von Beedle sein, oder?",07_harry_potter_und_die_heiligtuemer_des_todes
Runcorn,Runcorn,NOUN,5,neuter,singular,,,,,"»Einen Moment, Runcorn.«","»Einen Moment, {{c1::Runcorn}}.«",07_harry_potter_und_die_heiligtuemer_des_todes
Schwarzdornstab,Schwarzdornstab,NOUN,5,masculine,singular,,,,,"Er verkniff sich die Erwiderung, die ihm schon auf der Zunge lag: dass sie den Schwarzdornstab doch selber nehmen könnte, wenn sie glaubte, dass es keinen Unterschied machte, und er würde dann ihren behalten.","Er verkniff sich die Erwiderung, die ihm schon auf der Zunge lag: dass sie den {{c1::Schwarzdornstab}} doch selber nehmen könnte, wenn sie glaubte, dass es keinen Unterschied machte, und er würde dann ihren behalten.",07_harry_potter_und_die_heiligtuemer_des_todes
Spiegelscherbe,Spiegelscherbe,NOUN,5,,plural,Spiegelscherbe,,Spiegelscherbe (4),,"Harry durchquerte das Zimmer, ließ die Spiegelscherbe vom neuen Propheten gleiten und schlug die Zeitung auf.","Harry durchquerte das Zimmer, ließ die {{c1::Spiegelscherbe}} vom neuen Propheten gleiten und schlug die Zeitung auf.",07_harry_potter_und_die_heiligtuemer_des_todes
Zauberstabkunde,Zauberstabkunde,NOUN,5,feminine,singular,,,,,"Er war sicher gewesen, dass Voldemort einen Weg gesucht hatte, wie er das Problem der Zwillingskerne umgehen konnte, sicher, dass Voldemort eine Lösung von dem alten Zauberstabmacher begehrte … und doch hatte er ihn getötet, offenbar ohne ihm auch nur eine Frage zur Zauberstabkunde zu stellen.","Er war sicher gewesen, dass Voldemort einen Weg gesucht hatte, wie er das Problem der Zwillingskerne umgehen konnte, sicher, dass Voldemort eine Lösung von dem alten Zauberstabmacher begehrte … und doch hatte er ihn getötet, offenbar ohne ihm auch nur eine Frage zur {{c1::Zauberstabkunde}} zu stellen.",07_harry_potter_und_die_heiligtuemer_des_todes
